模型训练开始，起始时间：2024-07-13 06:23:43.091239
当前Batch：1310/6035 | 当前epoch:0/50 | 当前损失值：7.0448 | 当前准确率：13.96%
当前Batch：1320/6035 | 当前epoch:0/50 | 当前损失值：6.9351 | 当前准确率：14.40%
当前Batch：1330/6035 | 当前epoch:0/50 | 当前损失值：6.3567 | 当前准确率：24.22%
当前Batch：1340/6035 | 当前epoch:0/50 | 当前损失值：6.5781 | 当前准确率：22.40%
当前Batch：1350/6035 | 当前epoch:0/50 | 当前损失值：7.2525 | 当前准确率：12.87%
当前Batch：1360/6035 | 当前epoch:0/50 | 当前损失值：7.3023 | 当前准确率：12.21%
当前Batch：1370/6035 | 当前epoch:0/50 | 当前损失值：7.4326 | 当前准确率：11.00%
当前Batch：1380/6035 | 当前epoch:0/50 | 当前损失值：7.1033 | 当前准确率：12.68%
当前Batch：1390/6035 | 当前epoch:0/50 | 当前损失值：7.3331 | 当前准确率：11.08%
当前Batch：1400/6035 | 当前epoch:0/50 | 当前损失值：7.1622 | 当前准确率：14.25%
当前Batch：1410/6035 | 当前epoch:0/50 | 当前损失值：6.7107 | 当前准确率：16.99%
当前Batch：1420/6035 | 当前epoch:0/50 | 当前损失值：6.6122 | 当前准确率：17.95%
当前Batch：1430/6035 | 当前epoch:0/50 | 当前损失值：7.0319 | 当前准确率：14.51%
当前Batch：1440/6035 | 当前epoch:0/50 | 当前损失值：6.954 | 当前准确率：14.14%
当前Batch：1450/6035 | 当前epoch:0/50 | 当前损失值：7.0853 | 当前准确率：13.70%
当前Batch：1460/6035 | 当前epoch:0/50 | 当前损失值：6.3332 | 当前准确率：18.87%
当前Batch：1470/6035 | 当前epoch:0/50 | 当前损失值：7.1521 | 当前准确率：10.70%
当前Batch：1480/6035 | 当前epoch:0/50 | 当前损失值：6.8147 | 当前准确率：14.66%
当前Batch：1490/6035 | 当前epoch:0/50 | 当前损失值：6.3691 | 当前准确率：21.12%
当前Batch：1500/6035 | 当前epoch:0/50 | 当前损失值：6.7005 | 当前准确率：14.73%
当前Batch：1510/6035 | 当前epoch:0/50 | 当前损失值：6.6466 | 当前准确率：14.32%
当前Batch：1520/6035 | 当前epoch:0/50 | 当前损失值：5.9416 | 当前准确率：25.95%
当前Batch：1530/6035 | 当前epoch:0/50 | 当前损失值：6.7656 | 当前准确率：15.47%
当前Batch：1540/6035 | 当前epoch:0/50 | 当前损失值：6.8946 | 当前准确率：13.74%
当前Batch：1550/6035 | 当前epoch:0/50 | 当前损失值：6.5322 | 当前准确率：15.73%
当前Batch：1560/6035 | 当前epoch:0/50 | 当前损失值：6.7552 | 当前准确率：15.56%
当前Batch：1570/6035 | 当前epoch:0/50 | 当前损失值：6.5216 | 当前准确率：16.27%
当前Batch：1580/6035 | 当前epoch:0/50 | 当前损失值：6.7736 | 当前准确率：14.57%
当前Batch：1590/6035 | 当前epoch:0/50 | 当前损失值：6.7642 | 当前准确率：13.76%
当前Batch：1600/6035 | 当前epoch:0/50 | 当前损失值：6.4344 | 当前准确率：16.06%
当前Batch：1610/6035 | 当前epoch:0/50 | 当前损失值：6.6216 | 当前准确率：15.34%
当前Batch：1620/6035 | 当前epoch:0/50 | 当前损失值：6.5343 | 当前准确率：16.53%
当前Batch：1630/6035 | 当前epoch:0/50 | 当前损失值：6.2512 | 当前准确率：17.41%
当前Batch：1640/6035 | 当前epoch:0/50 | 当前损失值：6.7339 | 当前准确率：12.57%
当前Batch：1650/6035 | 当前epoch:0/50 | 当前损失值：6.4371 | 当前准确率：16.76%
当前Batch：1660/6035 | 当前epoch:0/50 | 当前损失值：6.5161 | 当前准确率：19.56%
当前Batch：1670/6035 | 当前epoch:0/50 | 当前损失值：6.1424 | 当前准确率：19.60%
当前Batch：1680/6035 | 当前epoch:0/50 | 当前损失值：6.4485 | 当前准确率：16.18%
当前Batch：1690/6035 | 当前epoch:0/50 | 当前损失值：5.9232 | 当前准确率：21.67%
当前Batch：1700/6035 | 当前epoch:0/50 | 当前损失值：6.1295 | 当前准确率：20.76%
当前Batch：1710/6035 | 当前epoch:0/50 | 当前损失值：5.9847 | 当前准确率：18.93%
当前Batch：1720/6035 | 当前epoch:0/50 | 当前损失值：6.8627 | 当前准确率：11.95%
